Date,EVCount,AvgElectricRange
2018-08-27,300,260.9692308
2018-09-03,287,260.925
2018-09-10,310,260.8807692
2018-09-17,374,260.8365385
2018-09-24,426,260.7923077
2018-10-01,526,260.7480769
2018-10-08,537,260.7038462
2018-10-15,461,260.6596154
2018-10-22,479,260.6153846
2018-10-29,508,260.5711538
2018-11-05,508,260.5269231
2018-11-12,524,260.4826923
2018-11-19,353,260.4384615
2018-11-26,489,260.3942308
2018-12-03,451,260.35
2018-12-10,566,260.3057692
2018-12-17,537,260.2615385
2018-12-24,355,260.2173077
2018-12-31,413,260.1730769
2019-01-07,607,260.1288462
2019-01-14,541,260.0846154
2019-01-21,503,260.0403846
2019-01-28,383,259.9961538
2019-02-04,380,259.9519231
2019-02-11,270,259.9076923
2019-02-18,229,259.8634615
2019-02-25,268,259.8192308
2019-03-04,261,259.775
2019-03-11,291,259.7307692
2019-03-18,212,259.6865385
2019-03-25,318,259.6423077
2019-04-01,307,259.5980769
2019-04-08,371,259.5538462
2019-04-15,580,259.5096154
2019-04-22,449,259.4653846
2019-04-29,351,259.4211538
2019-05-06,349,259.3769231
2019-05-13,347,259.3326923
2019-05-20,408,259.2884615
2019-05-27,263,259.2442308
2019-06-03,428,259.2
2019-06-10,349,259.6653846
2019-06-17,465,260.1307692
2019-06-24,460,260.5961538
2019-07-01,336,261.0615385
2019-07-08,398,261.5269231
2019-07-15,507,261.9923077
2019-07-22,359,262.4576923
2019-07-29,373,262.9230769
2019-08-05,326,263.3884615
2019-08-12,421,263.8538462
2019-08-19,393,264.3192308
2019-08-26,376,264.7846154
2019-09-02,430,265.25
2019-09-09,442,265.7153846
2019-09-16,431,266.1807692
2019-09-23,448,266.6461538
2019-09-30,653,267.1115385
2019-10-07,487,267.5769231
2019-10-14,722,268.0423077
2019-10-21,461,268.5076923
2019-10-28,318,268.9730769
2019-11-04,345,269.4384615
2019-11-11,267,269.9038462
2019-11-18,297,270.3692308
2019-11-25,187,270.8346154
2019-12-02,323,271.3
2019-12-09,349,271.7653846
2019-12-16,425,272.2307692
2019-12-23,171,272.6961538
2019-12-30,469,273.1615385
2020-01-06,1093,273.6269231
2020-01-13,428,274.0923077
2020-01-20,811,274.5576923
2020-01-27,270,275.0230769
2020-02-03,281,275.4884615
2020-02-10,272,275.9538462
2020-02-17,305,276.4192308
2020-02-24,254,276.8846154
2020-03-02,287,277.35
2020-03-09,332,277.8153846
2020-03-16,384,278.2807692
2020-03-23,379,278.7461538
2020-03-30,364,279.2115385
2020-04-06,349,279.6769231
2020-04-13,171,280.1423077
2020-04-20,101,280.6076923
2020-04-27,125,281.0730769
2020-05-04,124,281.5384615
2020-05-11,121,282.0038462
2020-05-18,151,282.4692308
2020-05-25,155,282.9346154
2020-06-01,216,283.4
2020-06-08,246,283.4641509
2020-06-15,194,283.5283019
2020-06-22,328,283.5924528
2020-06-29,226,283.6566038
2020-07-06,416,283.7207547
2020-07-13,488,283.7849057
2020-07-20,539,283.8490566
2020-07-27,578,283.9132075
2020-08-03,441,283.9773585
2020-08-10,246,284.0415094
2020-08-17,360,284.1056604
2020-08-24,371,284.1698113
2020-08-31,296,284.2339623
2020-09-07,262,284.2981132
2020-09-14,364,284.3622642
2020-09-21,416,284.4264151
2020-09-28,371,284.490566
2020-10-05,551,284.554717
2020-10-12,548,284.6188679
2020-10-19,479,284.6830189
2020-10-26,273,284.7471698
2020-11-02,722,284.8113208
2020-11-09,674,284.8754717
2020-11-16,500,284.9396226
2020-11-23,229,285.0037736
2020-11-30,428,285.0679245
2020-12-07,263,285.1320755
2020-12-14,593,285.1962264
2020-12-21,301,285.2603774
2020-12-28,343,285.3245283
2021-01-04,580,285.3886792
2021-01-11,612,285.4528302
2021-01-18,305,285.5169811
2021-01-25,1008,285.5811321
2021-02-01,572,285.645283
2021-02-08,496,285.709434
2021-02-15,275,285.7735849
2021-02-22,416,285.8377358
2021-03-01,432,285.9018868
2021-03-08,407,285.9660377
2021-03-15,409,286.0301887
2021-03-22,534,286.0943396
2021-03-29,402,286.1584906
2021-04-05,1113,286.2226415
2021-04-12,623,286.2867925
2021-04-19,618,286.3509434
2021-04-26,627,286.4150943
2021-05-03,681,286.4792453
2021-05-10,588,286.5433962
2021-05-17,611,286.6075472
2021-05-24,595,286.6716981
2021-05-31,435,286.7358491
2021-06-07,499,286.8
2021-06-14,559,286.8769231
2021-06-21,784,286.9538462
2021-06-28,766,287.0307692
2021-07-05,502,287.1076923
2021-07-12,782,287.1846154
2021-07-19,784,287.2615385
2021-07-26,744,287.3384615
2021-08-02,728,287.4153846
2021-08-09,591,287.4923077
2021-08-16,611,287.5692308
2021-08-23,721,287.6461538
2021-08-30,518,287.7230769
2021-09-06,552,287.8
2021-09-13,457,287.8769231
2021-09-20,655,287.9538462
2021-09-27,698,288.0307692
2021-10-04,765,288.1076923
2021-10-11,754,288.1846154
2021-10-18,473,288.2615385
2021-10-25,844,288.3384615
2021-11-01,381,288.4153846
2021-11-08,879,288.4923077
2021-11-15,736,288.5692308
2021-11-22,245,288.6461538
2021-11-29,756,288.7230769
2021-12-06,798,288.8
2021-12-13,682,288.8769231
2021-12-20,467,288.9538462
2021-12-27,665,289.0307692
2022-01-03,623,289.1076923
2022-01-10,713,289.1846154
2022-01-17,462,289.2615385
2022-01-24,798,289.3384615
2022-01-31,456,289.4153846
2022-02-07,725,289.4923077
2022-02-14,926,289.5692308
2022-02-21,470,289.6461538
2022-02-28,532,289.7230769
2022-03-07,780,289.8
2022-03-14,738,289.8769231
2022-03-21,650,289.9538462
2022-03-28,1020,290.0307692
2022-04-04,791,290.1076923
2022-04-11,1097,290.1846154
2022-04-18,516,290.2615385
2022-04-25,964,290.3384615
2022-05-02,669,290.4153846
2022-05-09,547,290.4923077
2022-05-16,681,290.5692308
2022-05-23,868,290.6461538
2022-05-30,613,290.7230769
2022-06-06,690,290.8
2022-06-13,599,290.8615385
2022-06-20,547,290.9230769
2022-06-27,1126,290.9846154
2022-07-04,879,291.0461538
2022-07-11,1415,291.1076923
2022-07-18,693,291.1692308
2022-07-25,657,291.2307692
2022-08-01,1135,291.2923077
2022-08-08,795,291.3538462
2022-08-15,660,291.4153846
2022-08-22,730,291.4769231
2022-08-29,660,291.5384615
2022-09-05,849,291.6
2022-09-12,638,291.6615385
2022-09-19,764,291.7230769
2022-09-26,751,291.7846154
2022-10-03,1206,291.8461538
2022-10-10,1172,291.9076923
2022-10-17,1137,291.9692308
2022-10-24,1159,292.0307692
2022-10-31,958,292.0923077
2022-11-07,908,292.1538462
2022-11-14,1403,292.2153846
2022-11-21,973,292.2769231
2022-11-28,1088,292.3384615
2022-12-05,989,292.4
2022-12-12,1019,292.4615385
2022-12-19,920,292.5230769
2022-12-26,979,292.5846154
2023-01-02,725,292.6461538
2023-01-09,1271,292.7076923
2023-01-16,1510,292.7692308
2023-01-23,1216,292.8307692
2023-01-30,731,292.8923077
2023-02-06,1236,292.9538462
2023-02-13,1210,293.0153846
2023-02-20,943,293.0769231
2023-02-27,990,293.1384615
2023-03-06,1187,293.2
2023-03-13,893,293.2615385
2023-03-20,1239,293.3230769
2023-03-27,1020,293.3846154
2023-04-03,1792,293.4461538
2023-04-10,1411,293.5076923
2023-04-17,1328,293.5692308
2023-04-24,1084,293.6307692
2023-05-01,1249,293.6923077
2023-05-08,1345,293.7538462
2023-05-15,793,293.8153846
2023-05-22,1650,293.8769231
2023-05-29,1195,293.9384615
2023-06-05,1655,294
2023-06-12,1393,294.1875
2023-06-19,1495,294.375
2023-06-26,1300,294.5625
2023-07-03,1077,294.75
2023-07-10,1607,294.9375
2023-07-17,1888,295.125
2023-07-24,1020,295.3125
2023-07-31,1633,295.5
2023-08-07,2302,295.6875
2023-08-14,1624,295.875
2023-08-21,1521,296.0625
2023-08-28,1624,296.25
2023-09-04,1216,296.4375
2023-09-11,1572,296.625
2023-09-18,1812,296.8125
2023-09-25,1437,297
